county,precinct,office,district,party,candidate,votes,provisional,early_voting,absentee,election_day
Ashley,CW3,Auditor of State,,DEM,Diamond Arnold-Johnson,103,0,68,1,34
Ashley,NCE,Auditor of State,,DEM,Diamond Arnold-Johnson,45,0,29,0,16
Ashley,NCW,Auditor of State,,DEM,Diamond Arnold-Johnson,27,0,10,1,16
Ashley,WCR,Auditor of State,,DEM,Diamond Arnold-Johnson,87,0,54,3,30
Ashley,VOTECH,Auditor of State,,DEM,Diamond Arnold-Johnson,37,1,25,2,9
Ashley,COOTER,Auditor of State,,DEM,Diamond Arnold-Johnson,16,0,8,0,8
Ashley,HICKORY GROVE,Auditor of State,,DEM,Diamond Arnold-Johnson,19,0,13,1,5
Ashley,CROSSROADS,Auditor of State,,DEM,Diamond Arnold-Johnson,25,0,19,0,6
Ashley,HW3,Auditor of State,,DEM,Diamond Arnold-Johnson,35,0,21,2,12
Ashley,HW2,Auditor of State,,DEM,Diamond Arnold-Johnson,37,0,23,0,14
Ashley,HW1,Auditor of State,,DEM,Diamond Arnold-Johnson,83,2,49,1,31
Ashley,HAMBURG RURAL,Auditor of State,,DEM,Diamond Arnold-Johnson,38,0,27,1,10
Ashley,MT ZION,Auditor of State,,DEM,Diamond Arnold-Johnson,2,0,2,0,0
Ashley,MILO,Auditor of State,,DEM,Diamond Arnold-Johnson,24,0,11,2,11
Ashley,BEECH CREEK,Auditor of State,,DEM,Diamond Arnold-Johnson,0,0,0,0,0
Ashley,MIST,Auditor of State,,DEM,Diamond Arnold-Johnson,4,0,3,0,1
Ashley,FOUNTAIN HILL CITY,Auditor of State,,DEM,Diamond Arnold-Johnson,15,0,5,0,10
Ashley,FOUNTAIN HILL RURAL,Auditor of State,,DEM,Diamond Arnold-Johnson,16,0,3,2,11
Ashley,PORTLAND CITY,Auditor of State,,DEM,Diamond Arnold-Johnson,68,0,4,2,62
Ashley,PORTLAND RURAL,Auditor of State,,DEM,Diamond Arnold-Johnson,7,0,0,0,7
Ashley,BOYDELL,Auditor of State,,DEM,Diamond Arnold-Johnson,4,0,0,0,4
Ashley,SNYDER / TRAFALGAR,Auditor of State,,DEM,Diamond Arnold-Johnson,2,0,2,0,0
Ashley,MONTROSE CITY,Auditor of State,,DEM,Diamond Arnold-Johnson,38,0,5,0,33
Ashley,MONTROSE RURAL,Auditor of State,,DEM,Diamond Arnold-Johnson,0,0,0,0,0
Ashley,PARKDALE CITY,Auditor of State,,DEM,Diamond Arnold-Johnson,36,0,5,0,31
Ashley,PARKDALE RURAL,Auditor of State,,DEM,Diamond Arnold-Johnson,2,0,0,0,2
Ashley,WILMOT CITY,Auditor of State,,DEM,Diamond Arnold-Johnson,84,0,10,6,68
Ashley,WILMOT RURAL,Auditor of State,,DEM,Diamond Arnold-Johnson,9,0,4,0,5
Ashley,CW1,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,151,1,94,3,53
Ashley,CW2,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,217,0,132,15,70
Ashley,CW3,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,489,0,314,7,168
Ashley,NCE,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,279,1,143,5,130
Ashley,NCW,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,165,0,85,5,75
Ashley,WCR,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,283,0,173,1,109
Ashley,VOTECH,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,156,0,81,0,75
Ashley,COOTER,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,144,0,48,1,95
Ashley,HICKORY GROVE,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,333,0,227,3,103
Ashley,CROSSROADS,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,272,0,137,2,133
Ashley,HW3,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,243,0,152,4,87
Ashley,HW2,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,150,1,95,3,51
Ashley,HW1,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,35,0,18,0,17
Ashley,HAMBURG RURAL,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,392,0,261,10,121
Ashley,MT ZION,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,105,0,69,3,33
Ashley,MILO,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,244,0,116,5,123
Ashley,BEECH CREEK,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,16,0,7,0,9
Ashley,MIST,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,55,1,39,0,15
Ashley,FOUNTAIN HILL CITY,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,28,1,6,0,21
Ashley,FOUNTAIN HILL RURAL,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,169,0,58,3,108
Ashley,PORTLAND CITY,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,91,0,16,4,71
Ashley,PORTLAND RURAL,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,15,0,2,0,13
Ashley,BOYDELL,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,5,0,2,0,3
Ashley,SNYDER / TRAFALGAR,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,33,0,23,1,9
Ashley,MONTROSE CITY,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,21,0,4,0,17
Ashley,MONTROSE RURAL,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,3,0,0,0,3
Ashley,PARKDALE CITY,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,15,0,6,1,8
Ashley,PARKDALE RURAL,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,4,0,2,0,2
Ashley,WILMOT CITY,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,32,0,17,0,15
Ashley,WILMOT RURAL,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,38,0,13,1,24
Ashley,CW1,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,179,2,124,11,42
Ashley,CW2,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,194,0,118,4,72
Ashley,CW3,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,111,0,75,2,34
Ashley,NCE,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,45,0,29,0,16
Ashley,NCW,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,27,0,10,1,16
Ashley,WCR,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,90,0,54,3,33
Ashley,VOTECH,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,36,1,24,2,9
Ashley,COOTER,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,18,0,9,0,9
Ashley,HICKORY GROVE,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,23,0,16,1,6
Ashley,CROSSROADS,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,26,0,19,0,7
Ashley,HW3,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,36,0,19,3,14
Ashley,HW2,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,40,0,23,0,17
Ashley,HW1,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,81,2,49,1,29
Ashley,HAMBURG RURAL,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,43,0,31,0,12
Ashley,MT ZION,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,3,0,2,0,1
Ashley,MILO,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,24,0,12,1,11
Ashley,BEECH CREEK,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,0,0,0,0,0
Ashley,MIST,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,4,0,3,0,1
Ashley,FOUNTAIN HILL CITY,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,15,0,6,0,9
Ashley,FOUNTAIN HILL RURAL,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,15,0,3,2,10
Ashley,PORTLAND CITY,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,62,0,2,3,57
Ashley,PORTLAND RURAL,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,7,0,0,0,7
Ashley,BOYDELL,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,2,0,0,0,2
Ashley,SNYDER / TRAFALGAR,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,2,0,2,0,0
Ashley,MONTROSE CITY,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,34,0,5,0,29
Ashley,MONTROSE RURAL,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,0,0,0,0,0
Ashley,PARKDALE CITY,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,39,0,6,0,33
Ashley,PARKDALE RURAL,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,2,0,0,0,2
Ashley,WILMOT CITY,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,82,0,9,6,67
Ashley,WILMOT RURAL,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,9,0,4,0,5
Ashley,CW1,Governor,,REP,Sarah Huckabee Sanders,138,1,92,2,43
Ashley,CW2,Governor,,REP,Sarah Huckabee Sanders,206,0,123,14,69
Ashley,CW3,Governor,,REP,Sarah Huckabee Sanders,466,0,299,7,160
Ashley,NCE,Governor,,REP,Sarah Huckabee Sanders,271,1,143,5,122
Ashley,NCW,Governor,,REP,Sarah Huckabee Sanders,158,0,80,5,73
Ashley,WCR,Governor,,REP,Sarah Huckabee Sanders,267,0,161,1,105
Ashley,VOTECH,Governor,,REP,Sarah Huckabee Sanders,153,0,80,0,73
Ashley,COOTER,Governor,,REP,Sarah Huckabee Sanders,134,0,43,1,90
Ashley,HICKORY GROVE,Governor,,REP,Sarah Huckabee Sanders,328,0,224,3,101
Ashley,CROSSROADS,Governor,,REP,Sarah Huckabee Sanders,262,0,132,2,128
Ashley,HW3,Governor,,REP,Sarah Huckabee Sanders,234,0,146,4,84
Ashley,HW2,Governor,,REP,Sarah Huckabee Sanders,142,1,92,3,46
Ashley,HW1,Governor,,REP,Sarah Huckabee Sanders,31,0,15,0,16
Ashley,HAMBURG RURAL,Governor,,REP,Sarah Huckabee Sanders,382,0,255,10,117
Ashley,MT ZION,Governor,,REP,Sarah Huckabee Sanders,100,0,63,3,34
Ashley,MILO,Governor,,REP,Sarah Huckabee Sanders,240,0,114,4,122
Ashley,BEECH CREEK,Governor,,REP,Sarah Huckabee Sanders,16,0,7,0,9
Ashley,MIST,Governor,,REP,Sarah Huckabee Sanders,55,1,38,0,16
Ashley,FOUNTAIN HILL CITY,Governor,,REP,Sarah Huckabee Sanders,26,1,5,0,20
Ashley,FOUNTAIN HILL RURAL,Governor,,REP,Sarah Huckabee Sanders,168,0,60,3,105
Ashley,PORTLAND CITY,Governor,,REP,Sarah Huckabee Sanders,78,0,13,4,61
Ashley,PORTLAND RURAL,Governor,,REP,Sarah Huckabee Sanders,15,0,2,0,13
Ashley,BOYDELL,Governor,,REP,Sarah Huckabee Sanders,5,0,2,0,3
Ashley,SNYDER / TRAFALGAR,Governor,,REP,Sarah Huckabee Sanders,33,0,23,1,9
Ashley,MONTROSE CITY,Governor,,REP,Sarah Huckabee Sanders,15,0,2,0,13
Ashley,MONTROSE RURAL,Governor,,REP,Sarah Huckabee Sanders,3,0,0,0,3
Ashley,PARKDALE CITY,Governor,,REP,Sarah Huckabee Sanders,17,0,7,1,9
Ashley,PARKDALE RURAL,Governor,,REP,Sarah Huckabee Sanders,3,0,2,0,1
Ashley,WILMOT CITY,Governor,,REP,Sarah Huckabee Sanders,30,0,16,0,14
Ashley,WILMOT RURAL,Governor,,REP,Sarah Huckabee Sanders,36,0,13,1,22
Ashley,CW1,Governor,,LBT,"Ricky Dale Harrington, Jr.",4,0,1,0,3
Ashley,CW2,Governor,,LBT,"Ricky Dale Harrington, Jr.",5,0,4,0,1
Ashley,CW3,Governor,,LBT,"Ricky Dale Harrington, Jr.",3,0,3,0,0
Ashley,NCE,Governor,,LBT,"Ricky Dale Harrington, Jr.",6,0,3,1,2
Ashley,NCW,Governor,,LBT,"Ricky Dale Harrington, Jr.",5,0,2,0,3
Ashley,WCR,Governor,,LBT,"Ricky Dale Harrington, Jr.",5,0,2,0,3
Ashley,VOTECH,Governor,,LBT,"Ricky Dale Harrington, Jr.",3,0,2,0,1
Ashley,COOTER,Governor,,LBT,"Ricky Dale Harrington, Jr.",5,0,1,0,4
Ashley,HICKORY GROVE,Governor,,LBT,"Ricky Dale Harrington, Jr.",3,0,2,0,1
Ashley,CROSSROADS,Governor,,LBT,"Ricky Dale Harrington, Jr.",2,0,1,0,1
Ashley,HW3,Governor,,LBT,"Ricky Dale Harrington, Jr.",2,0,0,0,2
Ashley,HW2,Governor,,LBT,"Ricky Dale Harrington, Jr.",0,0,0,0,0
Ashley,HW1,Governor,,LBT,"Ricky Dale Harrington, Jr.",3,0,2,0,1
Ashley,HAMBURG RURAL,Governor,,LBT,"Ricky Dale Harrington, Jr.",5,0,4,0,1
Ashley,MT ZION,Governor,,LBT,"Ricky Dale Harrington, Jr.",2,0,2,0,0
Ashley,MILO,Governor,,LBT,"Ricky Dale Harrington, Jr.",2,0,1,1,0
Ashley,BEECH CREEK,Governor,,LBT,"Ricky Dale Harrington, Jr.",0,0,0,0,0
Ashley,MIST,Governor,,LBT,"Ricky Dale Harrington, Jr.",1,0,1,0,0
Ashley,FOUNTAIN HILL CITY,Governor,,LBT,"Ricky Dale Harrington, Jr.",1,0,0,0,1
Ashley,FOUNTAIN HILL RURAL,Governor,,LBT,"Ricky Dale Harrington, Jr.",2,0,0,0,2
Ashley,PORTLAND CITY,Governor,,LBT,"Ricky Dale Harrington, Jr.",2,0,0,0,2
Ashley,PORTLAND RURAL,Governor,,LBT,"Ricky Dale Harrington, Jr.",0,0,0,0,0
Ashley,BOYDELL,Governor,,LBT,"Ricky Dale Harrington, Jr.",0,0,0,0,0
Ashley,SNYDER / TRAFALGAR,Governor,,LBT,"Ricky Dale Harrington, Jr.",0,0,0,0,0
Ashley,MONTROSE CITY,Governor,,LBT,"Ricky Dale Harrington, Jr.",1,0,0,0,1
Ashley,MONTROSE RURAL,Governor,,LBT,"Ricky Dale Harrington, Jr.",0,0,0,0,0
Ashley,PARKDALE CITY,Governor,,LBT,"Ricky Dale Harrington, Jr.",0,0,0,0,0
Ashley,PARKDALE RURAL,Governor,,LBT,"Ricky Dale Harrington, Jr.",0,0,0,0,0
Ashley,WILMOT CITY,Governor,,LBT,"Ricky Dale Harrington, Jr.",1,0,0,0,1
Ashley,WILMOT RURAL,Governor,,LBT,"Ricky Dale Harrington, Jr.",0,0,0,0,0
Ashley,CW1,Governor,,DEM,Chris Jones,188,2,126,12,48
Ashley,CW2,Governor,,DEM,Chris Jones,203,0,124,5,74
Ashley,CW3,Governor,,DEM,Chris Jones,136,0,91,3,42
Ashley,NCE,Governor,,DEM,Chris Jones,49,0,27,0,22
Ashley,NCW,Governor,,DEM,Chris Jones,30,0,13,1,16
Ashley,WCR,Governor,,DEM,Chris Jones,100,0,62,3,35
Ashley,VOTECH,Governor,,DEM,Chris Jones,37,1,23,2,11
Ashley,COOTER,Governor,,DEM,Chris Jones,22,0,13,0,9
Ashley,HICKORY GROVE,Governor,,DEM,Chris Jones,26,0,17,1,8
Ashley,CROSSROADS,Governor,,DEM,Chris Jones,32,0,22,0,10
Ashley,HW3,Governor,,DEM,Chris Jones,42,0,24,3,15
Ashley,HW2,Governor,,DEM,Chris Jones,48,0,28,0,20
Ashley,HW1,Governor,,DEM,Chris Jones,82,2,50,1,29
Ashley,HAMBURG RURAL,Governor,,DEM,Chris Jones,49,0,34,0,15
Ashley,MT ZION,Governor,,DEM,Chris Jones,7,0,6,0,1
Ashley,MILO,Governor,,DEM,Chris Jones,26,0,12,1,13
Ashley,BEECH CREEK,Governor,,DEM,Chris Jones,0,0,0,0,0
Ashley,MIST,Governor,,DEM,Chris Jones,4,0,3,0,1
Ashley,FOUNTAIN HILL CITY,Governor,,DEM,Chris Jones,18,0,7,0,11
Ashley,FOUNTAIN HILL RURAL,Governor,,DEM,Chris Jones,18,0,3,2,13
Ashley,PORTLAND CITY,Governor,,DEM,Chris Jones,72,0,5,3,64
Ashley,PORTLAND RURAL,Governor,,DEM,Chris Jones,7,0,0,0,7
Ashley,BOYDELL,Governor,,DEM,Chris Jones,3,0,0,0,3
Ashley,SNYDER / TRAFALGAR,Governor,,DEM,Chris Jones,2,0,2,0,0
Ashley,MONTROSE CITY,Governor,,DEM,Chris Jones,45,0,7,0,38
Ashley,MONTROSE RURAL,Governor,,DEM,Chris Jones,0,0,0,0,0
Ashley,PARKDALE CITY,Governor,,DEM,Chris Jones,39,0,6,0,33
Ashley,PARKDALE RURAL,Governor,,DEM,Chris Jones,3,0,0,0,3
Ashley,WILMOT CITY,Governor,,DEM,Chris Jones,86,0,10,6,70
Ashley,WILMOT RURAL,Governor,,DEM,Chris Jones,12,0,5,0,7
Ashley,CW1,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,148,0,94,3,51
Ashley,CW2,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,214,0,132,14,68
Ashley,CW3,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,476,0,304,7,165
Ashley,NCE,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,274,1,141,4,128
Ashley,NCW,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,153,0,79,5,69
Ashley,WCR,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,272,0,167,1,104
Ashley,VOTECH,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,153,0,79,0,74
Ashley,COOTER,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,136,0,44,1,91
Ashley,HICKORY GROVE,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,325,0,222,2,101
Ashley,CROSSROADS,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,269,0,135,2,132
Ashley,HW3,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,237,0,148,5,84
Ashley,HW2,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,149,1,94,3,51
Ashley,HW1,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,30,0,16,0,14
Ashley,HAMBURG RURAL,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,389,0,259,10,120
Ashley,MT ZION,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,101,0,64,3,34
Ashley,MILO,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,240,0,117,4,119
Ashley,BEECH CREEK,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,16,0,7,0,9
Ashley,MIST,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,55,1,38,0,16
Ashley,FOUNTAIN HILL CITY,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,27,1,5,0,21
Ashley,FOUNTAIN HILL RURAL,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,166,0,58,3,105
Ashley,PORTLAND CITY,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,84,0,13,4,67
Ashley,PORTLAND RURAL,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,15,0,2,0,13
Ashley,BOYDELL,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,4,0,2,0,2
Ashley,SNYDER / TRAFALGAR,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,33,0,23,1,9
Ashley,MONTROSE CITY,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,18,0,4,0,14
Ashley,MONTROSE RURAL,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,3,0,0,0,3
Ashley,PARKDALE CITY,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,18,0,8,1,9
Ashley,PARKDALE RURAL,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,3,0,2,0,1
Ashley,WILMOT CITY,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,32,0,17,0,15
Ashley,WILMOT RURAL,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,34,0,14,1,19
Ashley,CW1,Lieutenant Governor,,LBT,Frank Gilbert,9,1,5,0,3
Ashley,CW2,Lieutenant Governor,,LBT,Frank Gilbert,17,0,11,0,6
Ashley,CW3,Lieutenant Governor,,LBT,Frank Gilbert,10,0,9,0,1
Ashley,NCE,Lieutenant Governor,,LBT,Frank Gilbert,4,0,2,1,1
Ashley,NCW,Lieutenant Governor,,LBT,Frank Gilbert,7,0,3,0,4
Ashley,WCR,Lieutenant Governor,,LBT,Frank Gilbert,11,0,4,0,7
Ashley,VOTECH,Lieutenant Governor,,LBT,Frank Gilbert,2,0,1,0,1
Ashley,COOTER,Lieutenant Governor,,LBT,Frank Gilbert,5,0,1,0,4
Ashley,HICKORY GROVE,Lieutenant Governor,,LBT,Frank Gilbert,8,0,4,0,4
Ashley,CROSSROADS,Lieutenant Governor,,LBT,Frank Gilbert,4,0,2,0,2
Ashley,HW3,Lieutenant Governor,,LBT,Frank Gilbert,3,0,1,0,2
Ashley,HW2,Lieutenant Governor,,LBT,Frank Gilbert,2,0,2,0,0
Ashley,HW1,Lieutenant Governor,,LBT,Frank Gilbert,6,0,5,0,1
Ashley,HAMBURG RURAL,Lieutenant Governor,,LBT,Frank Gilbert,7,0,6,0,1
Ashley,MT ZION,Lieutenant Governor,,LBT,Frank Gilbert,3,0,2,0,1
Ashley,MILO,Lieutenant Governor,,LBT,Frank Gilbert,4,0,0,0,4
Ashley,BEECH CREEK,Lieutenant Governor,,LBT,Frank Gilbert,0,0,0,0,0
Ashley,MIST,Lieutenant Governor,,LBT,Frank Gilbert,0,0,0,0,0
Ashley,FOUNTAIN HILL CITY,Lieutenant Governor,,LBT,Frank Gilbert,2,0,1,0,1
Ashley,FOUNTAIN HILL RURAL,Lieutenant Governor,,LBT,Frank Gilbert,5,0,1,0,4
Ashley,PORTLAND CITY,Lieutenant Governor,,LBT,Frank Gilbert,10,0,1,2,7
Ashley,PORTLAND RURAL,Lieutenant Governor,,LBT,Frank Gilbert,0,0,0,0,0
Ashley,BOYDELL,Lieutenant Governor,,LBT,Frank Gilbert,0,0,0,0,0
Ashley,SNYDER / TRAFALGAR,Lieutenant Governor,,LBT,Frank Gilbert,0,0,0,0,0
Ashley,MONTROSE CITY,Lieutenant Governor,,LBT,Frank Gilbert,1,0,0,0,1
Ashley,MONTROSE RURAL,Lieutenant Governor,,LBT,Frank Gilbert,0,0,0,0,0
Ashley,PARKDALE CITY,Lieutenant Governor,,LBT,Frank Gilbert,3,0,0,0,3
Ashley,PARKDALE RURAL,Lieutenant Governor,,LBT,Frank Gilbert,0,0,0,0,0
Ashley,WILMOT CITY,Lieutenant Governor,,LBT,Frank Gilbert,3,0,0,0,3
Ashley,WILMOT RURAL,Lieutenant Governor,,LBT,Frank Gilbert,4,0,0,0,4
Ashley,CW1,Lieutenant Governor,,DEM,Kelly Ross Krout,175,2,121,11,41
Ashley,CW2,Lieutenant Governor,,DEM,Kelly Ross Krout,182,0,108,5,69
Ashley,CW3,Lieutenant Governor,,DEM,Kelly Ross Krout,118,0,79,3,36
Ashley,NCE,Lieutenant Governor,,DEM,Kelly Ross Krout,45,0,28,0,17
Ashley,NCW,Lieutenant Governor,,DEM,Kelly Ross Krout,31,0,13,1,17
Ashley,WCR,Lieutenant Governor,,DEM,Kelly Ross Krout,90,0,54,3,33
Ashley,VOTECH,Lieutenant Governor,,DEM,Kelly Ross Krout,36,1,24,1,10
Ashley,COOTER,Lieutenant Governor,,DEM,Kelly Ross Krout,20,0,11,0,9
Ashley,HICKORY GROVE,Lieutenant Governor,,DEM,Kelly Ross Krout,23,0,17,1,5
Ashley,CROSSROADS,Lieutenant Governor,,DEM,Kelly Ross Krout,25,0,19,0,6
Ashley,HW3,Lieutenant Governor,,DEM,Kelly Ross Krout,37,0,21,2,14
Ashley,HW2,Lieutenant Governor,,DEM,Kelly Ross Krout,41,0,24,0,17
Ashley,HW1,Lieutenant Governor,,DEM,Kelly Ross Krout,78,2,46,1,29
Ashley,HAMBURG RURAL,Lieutenant Governor,,DEM,Kelly Ross Krout,39,0,28,0,11
Ashley,MT ZION,Lieutenant Governor,,DEM,Kelly Ross Krout,4,0,4,0,0
Ashley,MILO,Lieutenant Governor,,DEM,Kelly Ross Krout,23,0,12,2,9
Ashley,BEECH CREEK,Lieutenant Governor,,DEM,Kelly Ross Krout,0,0,0,0,0
Ashley,MIST,Lieutenant Governor,,DEM,Kelly Ross Krout,5,0,4,0,1
Ashley,FOUNTAIN HILL CITY,Lieutenant Governor,,DEM,Kelly Ross Krout,15,0,7,0,8
Ashley,FOUNTAIN HILL RURAL,Lieutenant Governor,,DEM,Kelly Ross Krout,14,0,2,2,10
Ashley,PORTLAND CITY,Lieutenant Governor,,DEM,Kelly Ross Krout,61,0,4,1,56
Ashley,PORTLAND RURAL,Lieutenant Governor,,DEM,Kelly Ross Krout,7,0,0,0,7
Ashley,BOYDELL,Lieutenant Governor,,DEM,Kelly Ross Krout,3,0,0,0,3
Ashley,SNYDER / TRAFALGAR,Lieutenant Governor,,DEM,Kelly Ross Krout,2,0,2,0,0
Ashley,MONTROSE CITY,Lieutenant Governor,,DEM,Kelly Ross Krout,40,0,5,0,35
Ashley,MONTROSE RURAL,Lieutenant Governor,,DEM,Kelly Ross Krout,0,0,0,0,0
Ashley,PARKDALE CITY,Lieutenant Governor,,DEM,Kelly Ross Krout,34,0,5,0,29
Ashley,PARKDALE RURAL,Lieutenant Governor,,DEM,Kelly Ross Krout,3,0,0,0,3
Ashley,WILMOT CITY,Lieutenant Governor,,DEM,Kelly Ross Krout,80,0,9,6,65
Ashley,WILMOT RURAL,Lieutenant Governor,,DEM,Kelly Ross Krout,9,0,3,0,6
Ashley,CW1,Secretary of State,,DEM,Anna Beth Gorman,178,2,122,10,44
Ashley,CW2,Secretary of State,,DEM,Anna Beth Gorman,199,0,122,4,73
Ashley,CW3,Secretary of State,,DEM,Anna Beth Gorman,128,0,86,3,39
Ashley,NCE,Secretary of State,,DEM,Anna Beth Gorman,49,0,30,0,19
Ashley,NCW,Secretary of State,,DEM,Anna Beth Gorman,33,0,16,1,16
Ashley,WCR,Secretary of State,,DEM,Anna Beth Gorman,95,0,59,3,33
Ashley,VOTECH,Secretary of State,,DEM,Anna Beth Gorman,36,1,25,1,9
Ashley,COOTER,Secretary of State,,DEM,Anna Beth Gorman,23,0,11,0,12
Ashley,HICKORY GROVE,Secretary of State,,DEM,Anna Beth Gorman,23,0,15,1,7
Ashley,CROSSROADS,Secretary of State,,DEM,Anna Beth Gorman,34,0,22,0,12
Ashley,HW3,Secretary of State,,DEM,Anna Beth Gorman,42,0,25,3,14
Ashley,HW2,Secretary of State,,DEM,Anna Beth Gorman,46,0,27,0,19
Ashley,HW1,Secretary of State,,DEM,Anna Beth Gorman,80,2,48,1,29
Ashley,HAMBURG RURAL,Secretary of State,,DEM,Anna Beth Gorman,48,0,34,0,14
Ashley,MT ZION,Secretary of State,,DEM,Anna Beth Gorman,6,0,6,0,0
Ashley,MILO,Secretary of State,,DEM,Anna Beth Gorman,27,0,15,2,10
Ashley,BEECH CREEK,Secretary of State,,DEM,Anna Beth Gorman,0,0,0,0,0
Ashley,MIST,Secretary of State,,DEM,Anna Beth Gorman,5,0,4,0,1
Ashley,FOUNTAIN HILL CITY,Secretary of State,,DEM,Anna Beth Gorman,16,0,8,0,8
Ashley,FOUNTAIN HILL RURAL,Secretary of State,,DEM,Anna Beth Gorman,21,0,4,2,15
Ashley,PORTLAND CITY,Secretary of State,,DEM,Anna Beth Gorman,69,0,4,1,64
